#     BLOCK:  ACTUAL_PE:     PE_AVE:      ERROR:
         416    -7.60008    -7.55969  0.00625745
         417    -7.56796    -7.55971  0.00624247
         418    -7.57873    -7.55975   0.0062277
         419    -7.59821    -7.55985  0.00621352
         420    -7.52958    -7.55977  0.00619914
         421    -7.53344    -7.55971  0.00618473
         422     -7.5386    -7.55966  0.00617028
         423    -7.56459    -7.55967   0.0061557
         424    -7.56501    -7.55969   0.0061412
         425    -7.51741    -7.55959  0.00612755
         426    -7.55424    -7.55957  0.00611318
         427    -7.54148    -7.55953  0.00609901
         428    -7.51698    -7.55943  0.00608557
         429    -7.52736    -7.55936  0.00607185
         430    -7.56999    -7.55938  0.00605778
         431     -7.6062    -7.55949  0.00604469
         432    -7.53824    -7.55944   0.0060309
         433    -7.60027    -7.55954  0.00601771
         434    -7.55307    -7.55952  0.00600386
         435    -7.44955    -7.55927  0.00599538
         436    -7.48555     -7.5591  0.00598401
         437    -7.47226     -7.5589  0.00597362
         438    -7.46358    -7.55868  0.00596394
         439     -7.4405    -7.55841  0.00595643
         440    -7.38825    -7.55803  0.00595544
         441    -7.38894    -7.55764  0.00595426
         442    -7.39788    -7.55728  0.00595175
         443    -7.51376    -7.55718  0.00593913
         444    -7.53351    -7.55713  0.00592599
         445    -7.49325    -7.55699  0.00591441
         446    -7.45707    -7.55676  0.00590539
         447    -7.56371    -7.55678   0.0058922
         448    -7.55811    -7.55678  0.00587905
         449    -7.56684     -7.5568    0.005866
         450    -7.45045    -7.55657  0.00585772
         451    -7.41326    -7.55625  0.00585334
         452    -7.44758    -7.55601  0.00584533
         453    -7.42759    -7.55573   0.0058393
         454    -7.50825    -7.55562  0.00582737
         455    -7.49521    -7.55549  0.00581608
         456    -7.42507     -7.5552  0.00581035
         457    -7.39869    -7.55486  0.00580772
         458    -7.38715    -7.55449  0.00580657
         459    -7.35677    -7.55406  0.00580988
         460    -7.42328    -7.55378   0.0058042
         461    -7.49685    -7.55365  0.00579292
         462     -7.5215    -7.55359   0.0057808
         463    -7.52129    -7.55352  0.00576874
         464    -7.51272    -7.55343  0.00575698
         465    -7.44544     -7.5532  0.00574928
         466    -7.41227    -7.55289  0.00574489
         467    -7.37848    -7.55252  0.00574471
         468    -7.46513    -7.55233  0.00573547
         469    -7.56493    -7.55236  0.00572331
         470    -7.48293    -7.55221  0.00571303
         471    -7.43001    -7.55195  0.00570679
         472    -7.48862    -7.55182  0.00569628
         473    -7.52804    -7.55177  0.00568446
         474    -7.56462     -7.5518  0.00567253
         475    -7.50768     -7.5517  0.00566135
         476    -7.45826    -7.55151  0.00565286
         477    -7.50272     -7.5514  0.00564193
         478    -7.53823    -7.55138   0.0056302
         479     -7.5366    -7.55135  0.00561853
         480     -7.5036    -7.55125   0.0056077
         481    -7.49378    -7.55113  0.00559732
         482    -7.54003     -7.5511  0.00558575
         483    -7.64327    -7.55129  0.00557744
         484    -7.58386    -7.55136  0.00556633
         485    -7.61775     -7.5515  0.00555653
         486    -7.72341    -7.55185  0.00555635
         487    -7.82511    -7.55241   0.0055732
         488    -7.84871    -7.55302  0.00559475
         489    -7.77979    -7.55348   0.0056025
         490    -7.81352    -7.55401  0.00561614
         491    -7.78885    -7.55449  0.00562503
         492    -7.75657     -7.5549  0.00562858
         493    -7.70993    -7.55522  0.00562594
         494    -7.60768    -7.55532  0.00561555
         495    -7.61096    -7.55544  0.00560533
         496    -7.62812    -7.55558  0.00559594
         497    -7.67864    -7.55583  0.00559016
