#     BLOCK:   ACTUAL_T:     T_AVE:       ERROR:
         469    0.850678    0.778041   0.0121312
         470    0.850755    0.778196   0.0121064
         471    0.850782     0.77835   0.0120816
         472    0.850762    0.778503    0.012057
         473    0.850694    0.778656   0.0120325
         474    0.850579    0.778808   0.0120081
         475    0.850417    0.778958   0.0119837
         476    0.850209    0.779108   0.0119595
         477    0.849954    0.779256   0.0119353
         478    0.849652    0.779404   0.0119113
         479    0.849305     0.77955   0.0118873
         480    0.848912    0.779694   0.0118634
         481    0.848475    0.779837   0.0118396
         482    0.847993    0.779979   0.0118159
         483    0.847468    0.780118   0.0117923
         484      0.8469    0.780256   0.0117687
         485     0.84629    0.780392   0.0117452
         486    0.845638    0.780527   0.0117218
         487    0.844946    0.780659   0.0116985
         488    0.844216    0.780789   0.0116753
         489    0.843448    0.780917   0.0116521
         490    0.842644    0.781043    0.011629
         491    0.841804    0.781167    0.011606
         492    0.840931    0.781289    0.011583
         493    0.840027    0.781408   0.0115601
         494    0.839093    0.781524   0.0115373
         495    0.838131    0.781639   0.0115146
         496    0.837144    0.781751   0.0114919
         497    0.836132     0.78186   0.0114693
         498    0.835099    0.781967   0.0114468
         499    0.834046    0.782071   0.0114243
         500    0.832976    0.782173   0.0114019
         501    0.831891    0.782272   0.0113796
         502    0.830794    0.782369   0.0113573
         503    0.829687    0.782463   0.0113351
         504    0.828571    0.782555    0.011313
         505    0.827451    0.782644    0.011291
         506     0.82633     0.78273    0.011269
         507     0.82521    0.782814   0.0112471
         508    0.824095    0.782895   0.0112252
         509    0.822988    0.782974   0.0112034
         510    0.821891     0.78305   0.0111817
         511    0.820808    0.783124   0.0111601
         512     0.81974    0.783195   0.0111385
         513    0.818693    0.783265    0.011117
         514    0.817667    0.783332   0.0110956
         515    0.816667    0.783396   0.0110742
         516    0.815696    0.783459    0.011053
         517    0.814756    0.783519   0.0110317
         518    0.813851    0.783578   0.0110106
         519    0.812984    0.783635   0.0109895
         520    0.812157    0.783689   0.0109685
         521    0.811374    0.783743   0.0109476
         522    0.810636    0.783794   0.0109268
         523    0.809946    0.783844    0.010906
         524    0.809306    0.783893   0.0108853
         525    0.808719     0.78394   0.0108646
         526    0.808187    0.783986   0.0108441
         527    0.807711    0.784031   0.0108236
         528    0.807295    0.784075   0.0108032
         529    0.806941    0.784118   0.0107829
         530    0.806649    0.784161   0.0107626
         531    0.806421    0.784203   0.0107424
         532    0.806259    0.784244   0.0107223
         533    0.806163    0.784285   0.0107023
         534    0.806135    0.784326   0.0106823
         535    0.806175    0.784367   0.0106624
         536    0.806284    0.784408   0.0106426
         537    0.806463    0.784449   0.0106229
         538    0.806713    0.784491   0.0106032
         539    0.807033    0.784532   0.0105836
         540    0.807423    0.784575   0.0105641
         541    0.807882    0.784618   0.0105446
         542    0.808411    0.784662   0.0105253
         543    0.809009    0.784707    0.010506
         544    0.809675    0.784752   0.0104868
         545    0.810408      0.7848   0.0104676
         546    0.811207    0.784848   0.0104486
         547    0.812072    0.784898   0.0104296
         548       0.813    0.784949   0.0104107
         549     0.81399    0.785002   0.0103919
         550     0.81504    0.785056   0.0103731
         551    0.816148    0.785113   0.0103544
         552    0.817314    0.785171   0.0103359
         553    0.818534    0.785232   0.0103173
         554    0.819807    0.785294   0.0102989
         555    0.821131    0.785359   0.0102806
         556    0.822503    0.785425   0.0102623
         557    0.823921    0.785494   0.0102441
         558    0.825381    0.785566    0.010226
         559    0.826881     0.78564    0.010208
         560     0.82842    0.785716     0.01019
         561    0.829994    0.785795   0.0101722
         562    0.831601    0.785877   0.0101544
         563    0.833237    0.785961   0.0101367
         564    0.834899    0.786048   0.0101191
         565    0.836587    0.786137   0.0101016
         566    0.838295    0.786229   0.0100841
         567    0.840022    0.786324   0.0100668
         568    0.841766    0.786422   0.0100496
         569    0.843524    0.786522   0.0100324
         570    0.845293    0.786625   0.0100153
         571     0.84707    0.786731  0.00999835
