#     BLOCK:  ACTUAL_PE:     PE_AVE:      ERROR:
         617    -5.56024    -5.54532  0.00734349
         618    -5.56513    -5.54535  0.00733168
         619    -5.62418    -5.54548  0.00732094
         620    -5.46711    -5.54535  0.00731023
         621    -5.47694    -5.54524  0.00729928
         622    -5.53236    -5.54522  0.00728758
         623    -5.57353    -5.54527  0.00727602
         624    -5.43744    -5.54509  0.00726641
         625    -5.44999    -5.54494  0.00725638
         626    -5.49836    -5.54487  0.00724517
         627    -5.48661    -5.54477  0.00723421
         628    -5.47296    -5.54466   0.0072236
         629    -5.44402     -5.5445  0.00721388
         630    -5.47953     -5.5444  0.00720317
         631    -5.44986    -5.54425  0.00719331
         632    -5.44711    -5.54409  0.00718357
         633    -5.43507    -5.54392  0.00717429
         634    -5.34909    -5.54361  0.00716955
         635    -5.39287    -5.54338  0.00716219
         636    -5.36445    -5.54309  0.00715645
         637     -5.2797    -5.54268  0.00715715
         638    -5.28907    -5.54228  0.00715696
         639    -5.34755    -5.54198  0.00715225
         640    -5.36397     -5.5417  0.00714648
         641    -5.49259    -5.54162  0.00713574
         642    -5.49181    -5.54155  0.00712505
         643    -5.52597    -5.54152  0.00711401
         644    -5.46782    -5.54141  0.00710388
         645    -5.61183    -5.54152  0.00709371
         646    -5.51163    -5.54147  0.00708288
         647    -5.50328    -5.54141  0.00707218
         648     -5.4731    -5.54131  0.00706205
         649    -5.39783    -5.54109  0.00705463
         650    -5.35298     -5.5408   0.0070497
         651    -5.33542    -5.54048  0.00704593
         652    -5.28601    -5.54009  0.00704593
         653    -5.33849    -5.53978   0.0070419
         654    -5.38319    -5.53954   0.0070352
         655    -5.49535    -5.53947  0.00702478
         656     -5.4684    -5.53937  0.00701491
         657    -5.39343    -5.53914  0.00700775
         658    -5.41758    -5.53896  0.00699953
         659    -5.47896    -5.53887   0.0069895
         660    -5.37592    -5.53862  0.00698327
         661    -5.35713    -5.53835   0.0069781
         662     -5.3816    -5.53811  0.00697158
