# generation:     mean_loss:           best_loss:
585                   75.674                   75.674
586                   75.674                   75.674
587                   75.674                   75.674
588                   75.674                   75.674
589                   75.674                   75.674
590                   75.674                   75.674
591                   75.674                   75.674
592                   75.674                   75.674
593                   75.674                   75.674
594                   75.674                   75.674
595                   75.674                   75.674
596                  75.6739                  75.6083
597                  75.6416                  75.5752
598                  75.5909                  75.5752
599                  75.5752                  75.5752
600                  75.5752                  75.5752
601                  75.5752                  75.5752
602                  75.5752                  75.5752
603                  75.5752                  75.5752
604                  75.5752                  75.5752
605                  75.5752                  75.5752
606                  75.5752                  75.5752
607                  75.5752                  75.5752
608                  75.5752                  75.5752
609                  75.5752                  75.5752
610                  75.5752                  75.5752
611                  75.5752                  75.5752
612                  75.5752                  75.5752
613                  75.5752                  75.5752
614                  75.5752                  75.5752
615                  75.5752                  75.5752
616                  75.5752                  75.5752
617                  75.5752                  75.5752
618                  75.5752                  75.5752
619                  75.5752                  75.5752
620                  75.5752                  75.5752
621                  75.5752                  75.5752
622                  75.5752                  75.5752
623                  75.5752                  75.5752
624                  75.5752                  75.5752
625                  75.5752                  75.5752
626                  75.5752                  75.5752
627                  75.5752                  75.5752
628                  75.5752                  75.5752
629                  75.5752                  75.5752
630                  75.5752                  75.5752
631                  75.5752                  75.5752
632                  75.5752                  75.5752
633                  75.5752                  75.5752
634                  75.5752                  75.5752
635                  75.5752                  75.5752
636                  75.5752                  75.5752
637                  75.5752                  75.5752
638                  75.5752                  75.5752
639                  75.5752                  75.5752
640                  75.5752                  75.5752
641                  75.5752                  75.5752
642                  75.5752                  75.5752
643                  75.5752                  75.5752
644                  75.5752                  75.5752
645                  75.5752                  75.5752
646                  75.5752                  75.5752
647                  75.5752                  75.5752
648                  75.5752                  75.5752
649                  75.5752                  75.5752
650                  75.5752                  75.5752
651                  75.5752                  75.5752
652                  75.5752                  75.5752
653                  75.5752                  75.5752
654                  75.5752                  75.5752
655                  75.5752                  75.5752
656                  75.5752                  75.5752
657                  75.5752                  75.5752
658                  75.5752                  75.5752
659                  75.5752                  75.5752
660                  75.5752                  75.5752
661                  75.5752                  75.5752
662                  75.5752                  75.5752
663                  75.5752                  75.5752
664                  75.5752                  75.5752
665                  75.5752                  75.5752
666                  75.5752                  75.5752
667                  75.5752                  75.5752
668                  75.5752                  75.5752
669                  75.5752                  75.5752
670                  75.5752                  75.5752
671                  75.5752                  75.5752
672                  75.5752                  75.5752
673                  75.5752                  75.5752
674                  75.5752                  75.5752
675                  75.5752                  75.5752
676                  75.5752                  75.5752
677                  75.5752                  75.5752
678                  75.5752                  75.5752
679                  75.5752                  75.5752
680                  75.5752                  75.5752
681                  75.5752                  75.5752
682                  75.5752                  75.5752
683                  75.5752                  75.5752
684                  75.5752                  75.5752
685                  75.5752                  75.5752
686                  75.5752                  75.5752
687                  75.5752                  75.5752
